[LOG]	epoch	train cost	valid. cost	alpha	beta	gamma	train error(recons_mse)	valid. error(recons_mse)	train cost(recons)	train cost(temporal)	train cost(pred)	train cost(potential)	valid. cost(recons)	valid. cost(temporal)	valid. cost(pred)	valid. cost(potential)
[LOG]	80	10.3832	14.8308	0.9	0.1	0.5	0.022183318	0.022655115	1.8171475	0.11874261	1.8080177	16.437103	1.8279326	0.12114375	1.8187388	25.304426
[LOG]	81	10.6139	13.383	0.9	0.1	0.5	0.022118919	0.022703657	1.815846	0.11824701	1.80778	16.902384	1.82896	0.1202199	1.819239	22.408419
[LOG]	82	11.213	8.46167	0.9	0.1	0.5	0.02216958	0.022617163	1.8170612	0.117744915	1.8081135	18.0991	1.8268529	0.12050521	1.8163629	12.57032
[LOG]	83	10.7762	17.5365	0.9	0.1	0.5	0.022156062	0.022587523	1.816913	0.11570156	1.8083917	17.229746	1.8260429	0.120826	1.8201534	30.720543
[LOG]	84	11.3884	9.20245	0.9	0.1	0.5	0.022172062	0.022699552	1.8171556	0.11691458	1.8086405	18.45151	1.8291191	0.11581989	1.8189412	14.055687
[LOG]	85	7.41469	7.54484	0.9	0.1	0.5	0.02212177	0.022575261	1.8157367	0.11762145	1.8074694	10.506227	1.8256569	0.114365675	1.8201666	10.750014
[LOG]	86	6.91945	10.4306	0.9	0.1	0.5	0.022127466	0.022556836	1.8159075	0.116926394	1.8096734	9.516521	1.8256339	0.11745946	1.8188993	16.516634
[LOG]	87	8.8256	17.6173	0.9	0.1	0.5	0.022228397	0.022589188	1.818358	0.11505762	1.8108237	13.327468	1.8263185	0.11577259	1.8207065	30.891626
[LOG]	88	9.83452	11.9356	0.9	0.1	0.5	0.022149386	0.022581577	1.8165418	0.11511755	1.8077562	15.349811	1.8263832	0.11124123	1.818125	19.537289
[LOG]	89	8.50087	13.0422	0.9	0.1	0.5	0.022216959	0.022547645	1.8181479	0.11523157	1.8086721	12.679233	1.825283	0.116594516	1.8163283	21.743599
[LOG]	90	10.9812	12.8677	0.9	0.1	0.5	0.022133322	0.02253334	1.8162383	0.113543	1.8101566	17.646744	1.825011	0.11578161	1.8168682	21.396845
[LOG]	91	8.39274	7.79765	0.9	0.1	0.5	0.022186575	0.022668973	1.8174834	0.11450757	1.8113446	12.46579	1.8282378	0.118046045	1.8220998	11.245591
[LOG]	92	9.01531	11.6142	0.9	0.1	0.5	0.022122335	0.022541242	1.8158907	0.11704176	1.8089149	13.7103615	1.8251194	0.11681261	1.819553	18.887993
